user_id,name,email,street,city,state,join_date,specialty
user_89352132,Michael Nelson,jackward@example.com,497 Lee Cape Apt. 501,West Daniel,CA,2020-12-02,Feline
user_f6827e34,Richard Hudson,tony53@example.org,77685 White Springs Apt. 570,Chaneyville,GA,2025-09-05,Puppy/Kitten Care
user_02c181e7,Mark Pollard,ann38@example.org,159 Robertson Village,Richardtown,AS,2022-06-25,Puppy/Kitten Care
user_56ad6c61,Brandon Martinez Jr.,pittscody@example.net,155 Courtney Trail,Port Tiffanyville,NJ,2020-12-17,Canine
user_a4e72aa7,Paul Williams,colemanalexis@example.com,9353 Kristina Keys,Brownchester,TX,2021-11-30,Puppy/Kitten Care
user_8369220e,Paul Gomez,boothbradley@example.org,69219 Aaron Rapid,East Ralphbury,NY,2021-07-22,All Species
user_e7792204,Charles Henson,nelsonnicholas@example.net,98977 Grant Club Suite 533,West Caroline,IL,2023-10-01,Small Mammal
user_766567c0,Lisa Carr,monicafowler@example.net,19787 Susan Rapids,New Larry,FL,2025-10-01,Small Mammal
user_d9284fde,Julie Long,anna62@example.com,914 Norma Cliff,Thomaston,NM,2021-08-25,Senior Pet Care
user_d550139d,Sarah Burke DDS,joshuagonzalez@example.com,552 Singh Walk,North Jamesfurt,PA,2021-03-23,Canine
